Id,Causa,Materia,Argomento,settore,Gruppo,Argomento ori
,.../71,Libera circolazione delle merci,Restrizioni quantitative,agricoltura - frutta,1,Restrizioni quantitative - ortofrutta
,.../71,Libera circolazione delle merci,Restrizioni quantitative,agricoltura - frutta,1,Restrizioni quantitative - ortofrutta
,.../71,Libera circolazione delle merci,Monopoli,agricoltura - latte,1,Monopoli - centrali del latte
,.../72,Libera circolazione delle merci,Diritti sanitari,agricoltura - carni,1,Diritti sanitari - carni bovine
,.../73,Libera circolazione delle merci,Tassa erariale di sbarco,agricoltura - cereali,1,Tassa erariale di sbarco - cereali
,.../77,Funzione pubblica,Statuto dei funzionari europei, - ,2,Statuto dei funzionari europei
,.../84,Trattato C.E.C.A.,Quote acciaio,industria - siderurgia,2,Quote acciaio
,.../84,Trattato C.E.C.A.,Quote acciaio,industria - siderurgia,2,Quote acciaio
,.../84,Trattato C.E.C.A.,Quote acciaio,industria - siderurgia,2,Quote acciaio
,.../75,Diritto agrario comunitario / Libera circolazione delle merci,Prezzi dello zucchero,agricoltura - zucchero,3,Prezzi dello zucchero
,.../76,Libera circolazione dei lavoratori,Calciatori professionisti,sport - calcio,3,Calciatori professionisti
,.../76,Diritto agrario comunitario,Esportazioni di zucchero verso Paesi terzi,agricoltura - zucchero,3,Esportazioni di zucchero verso Paesi terzi
,.../77,Diritto agrario comunitario,Importi compensativi monetari,agricoltura - ,3,Importi compensativi monetari
,.../79,Libera circolazione delle merci,Diritti sanitari,agricoltura - carni,3,Diritti sanitari  carni bovine
,.../81,Libera circolazione delle merci,Tassa erariale di sbarco  prodotti petroliferi,industria - petrolio,3,Tassa erariale di sbarco  prodotti petroliferi
,.../85,Libera circolazione delle merci,Imposta di consumo,agricoltura - banane,3,Imposta di consumo  banane
,.../88,Libera circolazione delle merci,Misure di salvaguardia,agricoltura - banane,3,Misure di salvaguardia  banane
,T-.../89,Concorrenza,Intese  prodotti siderurgici,industria - siderurgia,3,Intese  prodotti siderurgici
,C-.../90,Importazioni da Paesi terzi,Imposta di consumo,agricoltura - banane,3,Imposta di consumo  banane
,C-.../91,Diritto agrario comunitario,Aiuti all'estensivizzazione carni bovine,agricoltura - carne,3,Aiuti all'estensivizzazione carni bovine
,C-.../92,Concorrenza,Aiuti di Stato,industria - cemento,3,Aiuti di Stato cemento
,C-.../92,Diritto doganale / Importazione da Paesi terzi,Classificazione tariffaria,agricoltura - frutta,3,Classificazione tariffaria ortofruttta
,T-.../93,Concorrenza,Aiuti di Stato,industria - cemento,3,Aiuti di Stato cemento
,T-.../93,Diritto agrario comunitario,Finanziamenti comunitari,agricoltura - foraggi,3,Finanziamenti comunitari foraggi
,C-.../95&nbsp;P,Concorrenza,Intese prodotti siderurgici,industria - siderurgia,3,Intese prodotti siderurgici
,C-.../95,Diritto agrario comunitario,Aiuti all'estensivizzazione carni bovine,agricoltura - carne,3,Aiuti all'estensivizzazione carni bovine
